Project,Bug ID,Severity Label,Resolution Status,Short Description
CDT,173036,normal,FIXED,"target-download ""file"" is not supported"
Core,324161,normal,FIXED,Optimize parseInt for Number
JDT,147381,normal,FIXED,Generics discrepancy between Eclipse compiler and Sun compiler.
Core,781977,normal,FIXED,Add optional pressure and source parameters to nsIDOMWindowUtils's sendMouse methods
CDT,325677,normal,FIXED,"edc - disassembly - context menu item ""Show Function Offsets"" not working"
Firefox,761742,normal,FIXED,No script is loaded in the script debugger for me
Firefox,408243,normal,FIXED,Back & Forward buttons on mouse does not navigate in Library/Places Organizer
Platform,193175,normal,FIXED,"inconsistent action names for ""Open Run/Debug/Profile Dialog..."""
JDT,324154,normal,FIXED,NPE in FlowContext while building
Platform,152473,normal,FIXED,[TabbedProperties] Registry does not support unkown categories
JDT,193488,normal,FIXED,org.eclipse.jdt.debug.test.stepping.StepIntoSelectionTests depend on VM behavior
Core,797203,normal,FIXED,"Slim: Measure memory of ""keyboard app"""
JDT,223899,normal,FIXED,Base type var should not be proposed before Object var in == case
Core,700199,normal,FIXED,"EventUtils.js should use synthesized events for sendKey(), sendChar() and sendString() rather than untrusted events"
Core,624809,normal,FIXED,reproducible flash crash with no report available
CDT,191759,normal,FIXED,NPE when indexing UPC code
Core,381809,normal,FIXED,"get rid of client.py's update, make checkout smarter"
Platform,163274,normal,FIXED,[JFace] Provide customizable ToolTip at JFace level
JDT,203765,normal,FIXED,[search] occurrences search wrongly colors read as write access on same line
Core,703861,normal,FIXED,German hyphenation: Wrong orthography variant selected
Core,691054,normal,FIXED,Back out the bug 667980 (getNetworkLinkType) on Android because of scary permissions
Bugzilla,342757,normal,FIXED,"searching results in ""YOUR BROWSER DOESN'T SUPPORT THIS SERVER-PUSH TECHNOLOGY"" warning on brower that does under mod_perl"
Platform,298578,normal,FIXED,NPE in text editor
Core,509788,normal,FIXED,Use dehydra-config.h instead of config.h to avoid confusion with GCC's config.h
Core,678842,normal,FIXED,remember spell check setting per site
Platform,158130,normal,FIXED,LegacyActionPersistence causing test failures on Linux with 1.5 VM
CDT,217918,normal,FIXED,CDT code formatter problems
Core,693021,normal,FIXED,"Intermittent test_seek.html | Exited with code 1 during test run from ""Assertion failure: !aOther.IsNull() && ""Cannot compute with aOther null value"", at ../../dist/include/mozilla/TimeStamp.h:220"""
Platform,203907,normal,FIXED,Run --> External Tools history menus not updated after organize favorites
Firefox,635051,normal,FIXED,set experienced_first_use for upgraders (beta/nightly users)
Core,339918,normal,FIXED,__iterator__ defined by web page is called by DOM Inspector
Core,568490,normal,FIXED,Changing the window transparency mode loses the maximized/minimized window state
Core,382383,normal,FIXED,nsDocShell::LoadURI discards LOAD_FLAGS_FIRST_LOAD
Core,710985,normal,FIXED,IonMonkey: implement LoadValue
Core,477747,normal,FIXED,"app cache ""noupdate"" event fired too early for master entries"
Firefox,525651,normal,FIXED,"On Windows, tabbrowser tabs often lack legibility when a lightweight theme is selected"
Core,731618,normal,FIXED,Remove JSContext * parameter from heap iteration API
Core,502715,normal,FIXED,Enable the canvas 2d context to function without an actual canvas element
Platform,217980,normal,FIXED,[SSH2] AIOOBE at com.com.jcraft.jsch.Session.connect
Core,482563,normal,FIXED,Tweak our exposure of object attributes
Core,429963,normal,FIXED,Please update fix-macos-stack.pl for Mac 10.5
Core,594642,normal,FIXED,[OpenGL] Use scissor rect when drawing container layers
CDT,130170,normal,FIXED,Issues with handling version information while generating ids..
Core,771833,normal,FIXED,drawImage doesn't work on MediaStream assigned to <video>
Core,447639,normal,FIXED,Update WHATWG Video/Audio code for recent spec changes
Firefox,586068,normal,FIXED,Cascade page loads when restoring
Firefox,495584,normal,FIXED,search suggestions passes wrong previous result to form history
Bugzilla,686971,normal,FIXED,Leaving the See Also field empty or undefined while adding one using the Bug.update WebServices method no longer triggers 'that argument was not set'
Core,774757,normal,FIXED,Number of Constructors increased by 1 from bug 749101 ( Move window.performance to the new DOM bindings)
Core,418613,normal,FIXED,"MOZ_DEBUG_SYMBOLS clobbers optimize flags, LDFLAGS"
Core,540450,normal,FIXED,reordering markers while editing custom google maps broken
Firefox,395994,normal,FIXED,folder icon instead of rss icon
Thunderbird,431171,normal,FIXED,Thunderbird crashes on closing address book.
Core,779688,normal,FIXED,jstests.py invocation is missing $(PYTHON)
Firefox,761169,normal,FIXED,[responsive mode] The resizers are not easy to discover
Core,363988,normal,FIXED,huge javascript crashes firefox
Firefox,506132,normal,FIXED,write session data to disk less often in WinCE
Firefox,783273,normal,FIXED,Intermittent browser_350525.js | uncaught JS exception - NS_ERROR_FAILURE: Failure arg 0 [nsIDOMXULDocument.popupNode] at chrome://browser/content/places/controller.js:1637
CDT,320372,normal,FIXED,Memory Browser should invoke becomesVisible/becomesHidden on renderings
Firefox,770929,normal,FIXED,GCLI should execute its tests asynchronously
Core,764165,normal,FIXED,IonMonkey: Poison freed IonCode buffers.
Firefox,491732,normal,FIXED,"add ""Share Location"" to Page Info > Permissions to redo/undo ""always remember this choice"" for geolocation preference"
Core,502832,normal,FIXED,TM: Crash [@ memcpy]
Firefox,810343,normal,FIXED,Downloads button paused icon is too large in large icon mode.
CDT,321118,normal,FIXED,Fast indexer fails due to NPE when a -I. directive is present
Core,456284,normal,FIXED,Null derefs in js_Interpret with split objects
Bugzilla,331003,normal,FIXED,"auth_failure uses ""put people in or out"""
Firefox,587654,normal,FIXED,Tab restore does not work with framesets
JDT,203720,normal,FIXED,SWT templates description should use lower case
Core,753058,normal,FIXED,Add SAMPLE_LABELS for shadows
Platform,130395,normal,FIXED,SyncFileWriter assumes getLocation() != null
Core,355258,normal,FIXED,e4x/Regress/regress-312196.js FAILED
Platform,222627,normal,FIXED,Stack overflow after hooking in property tester to activities
Firefox,656220,normal,FIXED,Style Inspector should cache cssLogic and cssHtmlTree outside the Highlighter
Firefox,702411,normal,FIXED,Rule view shouldn't update during highlighting
JDT,229058,normal,FIXED,[runnable JAR exporter] accessibility label missing
Firefox,468553,normal,FIXED,Dragging tab to bookmarks sidebar should bookmark not tear it (3.1b2)
Firefox,763468,normal,FIXED,Use about:privatebrowsing for new tabs opened in private browsing mode
Core,823080,normal,FIXED,C4099 warning spam on MSVC
Core,505430,normal,FIXED,County returned instead of country in geolocated address
Firefox,763232,normal,FIXED,Improper display of preference Nightly updates.
Platform,315113,normal,FIXED,Patch needed to fix SWT copyrights for 3.6
Core,481260,normal,FIXED,JIT stats in tracemonkey can interfere with stdout-using embeddings
Core,442729,normal,FIXED,Annotate stack-only classes in layout
Core,363933,normal,FIXED,Horizontal overflow events are not dispatched anymore
Core,546745,normal,FIXED,"[OOPP] topcrash [@ nsDisplayText::Paint(nsDisplayListBuilder*, nsIRenderingContext*)]"
Core,346085,normal,FIXED,CocoaFox - Preference Window changes size when switching panes
Firefox,806733,normal,FIXED,Port test_sts_preloadlist.js to the new per-tab PB APIs
Core,571219,normal,FIXED,remove unnecessary do_QueryInterface
Core,445938,normal,FIXED,text-position attribute not yet exposed for superscript and subscript text.
Core,794065,normal,FIXED,array spread operator messes up holes at the end of the literal
Core,797520,normal,FIXED,Improve OMTA logging some more
JDT,198410,normal,FIXED,[dnd] Strange dialog quickly appears when dropping on invalid target
JDT,186334,normal,FIXED,[introduce parameter object] wrong names for constrcutor params
Core,646641,normal,FIXED,Pushstate doesn't load from bfcache when skipping past the most recent history entry for a document
Core,753278,normal,FIXED,Unable to change window.location during document modification
Core,805372,normal,FIXED,Use INT32_MAX instead of PR_INT32_MAX in the C++ output
Core,533481,normal,FIXED,Crash on Firefox 3.6b6pre with Firebug 1.5b6 + Chromebug 1.5b6
Core,751463,normal,FIXED,[Azure] Rip Azure out of libxul
Firefox,352743,normal,FIXED,JS exception when trying to load privacy policy
Core,459274,normal,FIXED,Fallback text displays even when audio plays
Core,376041,normal,FIXED,statically link browser components
Platform,178757,normal,FIXED,TableColum/TreeColumns last resize listener called when control is resized
Core,708927,normal,FIXED,Intermittent test_focus_menu.xul | Test timed out. followed by tens of thousands of gA11yEventListeners is undefined exceptions
Firefox,770993,normal,FIXED,ConsoleAPI.js consumes excessive amounts of memory
Core,585413,normal,FIXED,warning: comparison between signed and unsigned integer expressions in GLContext::ExtensionBitset<setlen>
Platform,147709,normal,FIXED,[hovering] fix Live annotate hover sizing problems
Core,685025,normal,FIXED,Shell should be able to read from stdin
Firefox,348911,normal,FIXED,Spacing between toolbar icons regression
Core,616705,normal,FIXED,Enable readBack for SharedMemory plugins pipeline
Core,450270,normal,FIXED,NewAPI: Add modal windows support for Qt
Core,713755,normal,FIXED,Use constructors to create a.<here> and a[<here>] parse nodes
CDT,155327,normal,FIXED,ArrayIndexOutOfBoundsException in fast indexer
Core,487659,normal,FIXED,"""ASSERTION: Zero playback rate not allowed"""
Core,355521,normal,FIXED,Expose CSS visibility and CSS visibility changes properly
Core,467429,normal,FIXED,"remove support for ""main"" as a plugin initialization function"
Platform,172754,normal,FIXED,Drag n drop of classes shouldn't let package nodes open
JDT,129530,normal,FIXED,[quick fix] remove curly brackets should have least relevance
Core,528769,normal,FIXED,Toolbar GTK+ buttons do not visually depress when clicked
Core,616412,normal,FIXED,"""Conditional jump or move depends on uninitialised value(s)"" in nsScriptSecurityManager::CheckFunctionAccess"
Platform,317253,normal,FIXED,[Webapp] Topics whose href includes an anchor do not show in the index when filtering is on
Thunderbird,371431,normal,FIXED,Add prefs to control the phishing detector's local checks
Firefox,572967,normal,FIXED,don't remove popup notifications on dismissal (allow them to be re-activated from their anchor icon)
JDT,130764,normal,FIXED,[refactoring]  rename refactoring updates non-matching FQN
Platform,300439,normal,FIXED,Tracker contains a println()
Core,558486,normal,FIXED,e10s HTTP: stub out some functions needed to bootstrap testXUL
Platform,316963,normal,FIXED,Context menu doesn't appear after left-click
Firefox,520937,normal,FIXED,Win7 related errors on browser startup.
Core,658213,normal,FIXED,"Use [explicit_jscontext] on document.open, delete cry for help in nsContentUtils::ReparentContentWrappersInScope"
Platform,138194,normal,FIXED,"typos, formatting inefficiencies in whatsNew/platform_whatsnew.html"
Platform,139803,normal,FIXED,Update manifest to compile against Foundation 1.0: org.eclipse.help.appserver
Firefox,336462,normal,FIXED,document new backspace behavior on Linux (page up instead of history back)
Core,455122,normal,FIXED,Page incorrectly renders border certain sizes
Core,562387,normal,FIXED,Convert all uses of NS_NEWXPCOM/NS_DELETEXPCOM to new/delete
Core,391298,normal,FIXED,Sort out loading principal situation
Platform,290025,normal,FIXED,Upate jface bundle version and required versions
Thunderbird,654645,normal,FIXED,"Attachment size is not displayed in compose window in case of ""Send To"" -> ""Mail Recipient"" from Windows Explorer"
Core,584580,normal,FIXED,Remove chromium string/double conversion code
Core,341297,normal,FIXED,Crash [@nsBoxObject::GetDocShell]
Core,451932,normal,FIXED,xhydra mac: isGPlusPlus() always returns false
Bugzilla,370715,normal,FIXED,Release/News Announcement for Bugzilla 3.0rc1
Firefox,591582,normal,FIXED,csshtmltree needs a way to keep up with CSS changes
Core,682615,normal,FIXED,OOM crash in BasicPlanarYCbCrImage::SetData
Core,600727,normal,FIXED,shell reftest js1_8_5/extensions/scripted-proxies fails with -j
Bugzilla,331343,normal,FIXED,twice SQLQuote in Bugzilla::flag::modify
Core,456945,normal,FIXED,"EV failure, off by one error"
Core,744366,normal,FIXED,Assert about expected readyState before readyState transitions
JDT,238463,normal,FIXED,closed projects are dissapearing from working sets
CDT,178828,normal,FIXED,ScannerInfoProviderProxy returns empty scanner info for project
Core,794563,normal,FIXED,Make app uninstall trigger new clear private data notifications
Core,778682,normal,FIXED,drawImage doesn't work on loadeddata event with MediaStream <video/>
Firefox,595330,normal,FIXED,Blindly clicking on top left of a maximized window should activate the Firefox menu button
Core,757240,normal,FIXED,May 2012 batch of changes to the EV-activation list
Core,792314,normal,FIXED,Make print preview support display lists properly
Bugzilla,410859,normal,FIXED,createCalendar() and showCalendar() undefined in post_bug
Platform,290377,normal,FIXED,Dynamic help view does not respect IContextProvider upon open
Core,554955,normal,FIXED,"Property cache bug walking the scope chain across a heavyweight frame (involving JSOP_NAME, teleport, eval, let)"
Core,755190,normal,FIXED,Enabling b2g bluetooth will lead to system crash
Platform,332640,normal,FIXED,[backport] Team > Merge operation for project contains logical model always show no changes between two branches
Platform,129108,normal,FIXED,"In IE, the scrollbar is partially hiden in ""New Search List"" Window"
Core,776934,normal,FIXED,Hook up Camera API (navigator.mozCameras) to WebAPI permissions manager
Core,813508,normal,FIXED,no need in special HTML caption processing for accessible tree creation
Platform,133495,normal,FIXED,File Search write to log
Firefox,393244,normal,FIXED,occasionally hitting enter in the url bar will not have an effect
Core,366534,normal,FIXED,deCOMtaminate nsIBoxLayout
Platform,160872,normal,FIXED,[Model Sync] Dialog sometimes opens with no scope selected
Core,334605,normal,FIXED,balsa orange due to atom table shutdown code
Platform,168525,normal,FIXED,Loading Debug plug-in causes ClassNotFoundException
JDT,196510,normal,FIXED,"Erroneous warning ""Statement unnecessarily nested within else clause."""
Core,420420,normal,FIXED,"""ASSERTION: Didn't SaveReflowAndBoundingMetricsFor frame!"" with &ApplyFunction;"
Platform,164134,normal,FIXED,[DataBinding] 3.2 compilation errors in AbstractObservableTree and ObservableMapLabelProvider
Core,458311,normal,FIXED,Make XHR on a worker behave identically to XHR on the main thread
Platform,185832,normal,FIXED,[launching] [favorites] filtered launch configurations show up where they shouldn't
JDT,265645,normal,FIXED,Configure Working Sets Dialog: sort checkbox does not use dialog font
Core,462868,normal,FIXED,background-color text attribute being exposed as black when it isn't
Core,698406,normal,FIXED,Make nsXULPrototypeAttribute::mEventHandler a JSObject
JDT,140876,normal,FIXED,No version range specified when requiring bundles
Core,712835,normal,FIXED,Add a memory reporter for the nsAtomTable
Core,467862,normal,FIXED,Build system should support building both a static and a shared library from the same Makefile
Core,717122,normal,FIXED,B2G network manager component
Platform,274196,normal,FIXED,remove win64 fragments from features to avoid messy metadata
Core,770058,normal,FIXED,Switching main window between active and inactive doesn't update the title bar active state if disabled MenuBar in Window7Classic Style
Bugzilla,392212,normal,FIXED,Bugzilla LDAP support does not work over SSL connection
Core,419463,normal,FIXED,firefox script warning dialog has icons reversed
Thunderbird,679483,normal,FIXED,Provide a way to disable this @!#$ rich failure logging that fills my terminal
Firefox,414288,normal,FIXED,"Simplify TagsSearch to be correct, clear, concise"
Platform,161255,normal,FIXED,[Patch] Make Hunk description API
Platform,311129,normal,FIXED,[Browser][Mozilla]Code refactoring of Parse method in nsID class
Core,634549,normal,FIXED,Cocoa's progress bar widget should use HTML progress element's values
Thunderbird,696689,normal,FIXED,RSS sub-folders do not update
Core,384672,normal,FIXED,Escaped newlines ignored in identifiers
Firefox,824480,normal,FIXED,Replace |aTab == gBrowser.selectedTab| with aTab.selected
CDT,180815,normal,FIXED,defining multiple globals variables at structure definition causes dublicate struct tag entries in outline view.
Core,615134,normal,FIXED,Intermittent failure of test_seek.html on Linux64
Thunderbird,786606,normal,FIXED,Chat shortcut key Ctrl+Shift+C doesn't do anything
Thunderbird,379175,normal,FIXED,send unsent messages doesn't work when used during same session as composition
Core,407812,normal,FIXED,nsNodeSH::PreCreate() shouldn't QI to nsINode.
Platform,266385,normal,FIXED,Mylyn notifications don't close properly
Core,587480,normal,FIXED,comparison between signed and unsigned integer expressions in nsOggReader::DecodeVorbis
Core,360293,normal,FIXED,passing in non-numeric values to canvas functions causes crash inside cairo
Platform,302192,normal,FIXED,Add --launcher.defaultAction to sdk/platform ini
Core,762280,normal,FIXED,Global-buffer-overflow in js::gc::MapAllocToTraceKind
Core,671150,normal,FIXED,Add memory reporter for the JS PropertyTable
Core,809181,normal,FIXED,VectorImage::ExtractFrame produces rendering issues if multiple images with the same underlying SVG document end up displayed on the same page
Core,526403,normal,FIXED,"In print preview, clicking and dragging scrollbar doesn't scroll"
Core,330812,normal,FIXED,Making Array(1 << 29).sort() less problematic.
Firefox,558651,normal,FIXED,"""Check Spelling"" should only be showed in context menu when input element is in 'text' or 'search' state"
Platform,191047,normal,FIXED,Move 2 bundles in the incubator section
Core,739421,normal,FIXED,Implement ARB_sync in GLContext
Firefox,408328,normal,FIXED,Replace FeedWriter.js's CheckLoadURIStr with CheckLoadURIStrWithPrincipal
Core,606286,normal,FIXED,Back button should work for websites that quickly redirect
Core,344428,normal,FIXED,Need a real buffer for text conversion
Platform,262083,normal,FIXED,Produce zips of repos
Platform,173006,normal,FIXED,PDE compile error on org.eclipse.ui.workbench
Core,696663,normal,FIXED,Make nsIJSEventListener::mScopeObject a JSObject
Core,494667,normal,FIXED,there is incorrect gap between cells if the table is border collapsed and a cell collspan > 1
Core,349095,normal,FIXED,"Content doubling, ""ASSERTION: DeletingFrameSubtree on a special frame"" and ""ASSERTION: no common ancestor at all???"" with first-letter, block-in-inline"
Platform,156031,normal,FIXED,Internal/Provisional classes exposed on API
Platform,163561,normal,FIXED,[Databinding] ComboViewer is broken currently
Platform,261502,normal,FIXED,Equinox download site broken
Firefox,328220,normal,FIXED,search plugin adjustments for 1.0.8
Core,684825,normal,FIXED,ASSERTION: QueryInterface needed: 'query_result.get() == mRawPtr' trying to get experimental-webgl context with options
Core,750480,normal,FIXED,hang when loading empty java applet with click-to-play
Core,387247,normal,FIXED,Use toolkit printUtils.js instead of communicator printing.js
Thunderbird,333821,normal,FIXED,Capital (uppercase) J cannot be typed when adding card to address book from contextual menu of email address in message header section of preview
Core,686545,normal,FIXED,Fix build bustage with nsRefreshDriver/nsARefreshObserver not being defined
Platform,261147,normal,FIXED,[CommonNavigator] Navigator label provider uses inconsistent methods to do the same thing
Core,372703,normal,FIXED,No visual content in chat windows when using GTalk in Gmail.
Core,379542,normal,FIXED,clean up button-small usage in pinstripe
Platform,270036,normal,FIXED,UI Test Suite does not run to completion.
Core,591972,normal,FIXED,JM: generate inline code for JSOP_TABLESWITCH
Core,639830,normal,FIXED,WyciwygChannelChild is not thorough about checking for cancellation
JDT,209661,normal,FIXED,ILocalVariable for method parameter misses annotations
Platform,187134,normal,FIXED,NLS33:default Run application name RTL reading order problem
Platform,267470,normal,FIXED,[Navigator] Deprecate the ResourceNavigator
Core,436932,normal,FIXED,Add imageRenderingQuality property to canvas
Core,417851,normal,FIXED,get rid of access check in ComputeGlobalThis
Core,469995,normal,FIXED,"js_DecompileValueGenerator uses cx->fp, should be made safe"
Platform,172810,normal,FIXED,[QuickAccess] Don't open QuickAccess dialog fully expanded
Core,370006,normal,FIXED,SVG doesn't get scaled up on high-resolution displays
CDT,181804,normal,FIXED,debug.ui plugin not distributing schema files in SDK
Firefox,803546,normal,FIXED,Applying background theme causes Downloads button to jump around.
Firefox,518607,normal,FIXED,Move the Troubleshooting Information page into toolkit so other apps like Thunderbird and SeaMonkey can use it.
Core,397039,normal,FIXED,Crash downloading file
Core,780457,normal,FIXED,Adapt importTestsuite.py to changes from bug 774032
Core,462356,normal,FIXED,Build fails on mac in js/src/configure.in with error: Library requirements (glib-2.0 >= 1.3.7 gobject-2.0) not met;
CDT,216186,normal,FIXED,[patch] EditorUtility.getWorkspaceFileAtLocation gets wrong IFile in some cases
JDT,202914,normal,FIXED,[open type] FilteredTypesSelectionDialog package pattern doesn't work properly
Core,675179,normal,FIXED,Errors in cached dynamic overlay script cause XBL to trip up with an assertion
Core,583958,normal,FIXED,Add NEON detection to SSE.h?
Core,530275,normal,FIXED,MIME types in nsContentDLF.cpp and nsIParser.h should be shared and moved to nsMimeTypes.h
Firefox,729191,normal,FIXED,Make debugger mochitests wait for debugger server shutdown before finishing
Core,734400,normal,FIXED,IonMonkey: Elide DivBy0 check in LDivI when constant non-zero divisor is used.
Core,734732,normal,FIXED,Rename nsISVGChildFrame::SUPPRESS_INVALIDATION so it's not misleading
Core,480796,normal,FIXED,figure out whether the ARM chip has VFP or v6t2 instructions
Core,498193,normal,FIXED,TM: [nanojit] another round of code cleanups
Firefox,604093,normal,FIXED,"references to undefined variable ""XULWindowBrowser"" and calls to undefined function setStatusText in browser.js"
Core,339023,normal,FIXED,Static strings in widget/windows
Core,512908,normal,FIXED,Don't expose empty live attribute if there is no aria-live and ARIA role hasn't default live value
JDT,236445,normal,FIXED,NPE in content assist
Firefox,757278,normal,FIXED,Handle positions are not saved.
Firefox,404906,normal,FIXED,Strange ordering of history entries
Bugzilla,360710,normal,FIXED,checksetup.pl needs to blacklist some non-working external modules
Core,510748,normal,FIXED,"still get assertions ""reflow state computed incorrect width"" and ""non-root frame's desired size changed during an incremental reflow"""
Core,711168,normal,FIXED,Implement the compositor protocol for OMTC
Core,453785,normal,FIXED,need a new basic sample plugin for Mac OS X
Core,759891,normal,FIXED,Update libjpeg to 1.2.x branch r831 (or later)
Core,484400,normal,FIXED,Incorrect float containing block used in ContentRemoved if the frame being removed is positioned
Core,643836,normal,FIXED,Invalidation does not always trigger a displayport update
Core,368887,normal,FIXED,reftest bugs/9458-width-1a failing on windows
Core,335122,normal,FIXED,Clean up XUL Sort Service
Core,695025,normal,FIXED,don't use false when we really mean NULL
Core,401613,normal,FIXED,get xml parse errors from valid SVG file
Core,747642,normal,FIXED,cleanup in AndroidJNI
Platform,286241,normal,FIXED,Add weaving bundles to equinox build.
Core,492309,normal,FIXED,Remove unused gfxTextRun flags
Platform,280569,normal,FIXED,"[OS X - Cocoa] After moving the shell to another space, rich hover opens on wrong space"
Platform,229294,normal,FIXED,Layout problems for items in DetailedProgressViewer
Platform,262866,normal,FIXED,CCombo is too tall (vertical height)
Platform,262754,normal,FIXED,"[perfs] ""Servlet Read"" performance test does not last enough"
Core,744063,normal,FIXED,'Fullscreen playback' NVIDIA stereo 3d for youtube not working in latest Aurora v13
Platform,335304,normal,FIXED,DateTime dropdown doesn't hide with arrow button
Firefox,378802,normal,FIXED,Changing the details of a bookmark does not sort results in which it's listed
Core,388839,normal,FIXED,object to manage updates to the offline cache
JDT,153247,normal,FIXED,Templates content assist additional info outdated and improvable
Core,536480,normal,FIXED,Innerize windows when passing from C++
Core,699409,normal,FIXED,Add telemetry for number of entries in nsDiskCacheMap
JDT,203721,normal,FIXED,"""Parameter is never read"" not reported if unnecessary declared checked exception"
Core,722864,normal,FIXED,nsFilePicker uses global PB service to decide whether to add choices to recent documents
Platform,178899,normal,FIXED,change update sites to use local digest for 3.3 stream
Firefox,479994,normal,FIXED,"Session not restored when exiting from PB mode using ""X"""
Platform,331317,normal,FIXED,Duplicate mnemonic 'D' in properties->Resource page
Thunderbird,492438,normal,FIXED,Attachment reminder dialog should explain what triggered it
JDT,212574,trivial,FIXED,[quick fix] Removing unused @SuppressedWarnings quick fix could be more specific
Thunderbird,520897,trivial,FIXED,"Switch application/x-javascript to application/javascript, Thunderbird part"
Core,565322,trivial,FIXED,deadcode in nsOggReader::FindEndTime if !codecState
Bugzilla,344961,trivial,FIXED,Display custom fields on show_bug.cgi before the time table
Core,464379,trivial,FIXED,configure script prints python path unnecessarily
Firefox,337514,trivial,FIXED,Small typo in browser.css
Bugzilla,518963,trivial,FIXED,PROCESS user-message instead of INCLUDE'ing it
Core,655628,trivial,FIXED,Remove unused Accept_Charset atom
Core,462497,trivial,FIXED,nsComponentManagerImpl::HashContractID() reenters mMon
Bugzilla,325691,trivial,FIXED,terms.Bugs not used in saved searches template
Thunderbird,442874,trivial,FIXED,Remove some unnecessary force overrides in mail/base/jar.mn
JDT,243917,trivial,FIXED,Warning: the field <field> is never read locally
Platform,149494,trivial,FIXED,ref-7.htm uses the wrong case for the topic title
Core,401298,trivial,FIXED,Including jsapi.h generates many warnings with certain compiler configurations (e.g. gcc 3.4 -Wstrict-prototypes)
CDT,201973,trivial,FIXED,Project conversion failed box when opening cdt3 project with cdt4
Thunderbird,450044,trivial,FIXED,Remove obsoleted <mail-folder-bindings.xml>
Core,331848,trivial,FIXED,idl comment for containsNode is corrupt
Firefox,759656,trivial,FIXED,Some PopupNotification consumers expect a notification argument to the mainAction callback
Core,559498,trivial,FIXED,configure.in: s/--enable-long-long-warning/--disable-long-long-warning/
Platform,321403,trivial,FIXED,"Change ""Sun Microsystems, Inc."" to ""Oracle Corporation"" in the splash screen"
Core,452915,trivial,FIXED,Linked images have a border in default style sheet
Core,375436,trivial,FIXED,Aqua buttons flash unstyled on click-and-hold
Platform,131745,trivial,FIXED,[javadoc] Clarify TextAttribute Javadoc regarding 'null' argument for fg and bg color
Thunderbird,662015,trivial,FIXED,Dualbuttons in message header have no right margin
JDT,153922,trivial,FIXED,IJavaMarkerResolutionExtension looks unused and could be removed
Thunderbird,460647,trivial,FIXED,Message Reader: Focussing contacts in message header causes other headers to move down (polish)
Platform,268344,trivial,FIXED,"New ""helpContextId"" attribute in synchronizeParticipants schema should be tagged ""since 3.5"""
JDT,167590,trivial,FIXED,"Refactoring dialog ""Convert Anonymous to Nested Class"" does not store settings"
Firefox,474128,trivial,FIXED,"remove newlines=""replacewithspaces"" from the search bar"
Core,684695,trivial,FIXED,Document the effect of non-null mLSHE on subframe entries in session history
JDT,202402,trivial,FIXED,Assign Workingsets... dialog has non-working mnemonic
Platform,340887,trivial,FIXED,[Help] Update copyrights
Platform,214327,trivial,FIXED,get rid of copied StatusLineContributionItem
CDT,274684,trivial,FIXED,Debug texts(?) on Paths and Symbols
Core,489502,trivial,FIXED,"Replace NS_ASSERTION(0, ...) by NS_ERROR(...) in mozilla-central"
JDT,126000,trivial,FIXED,missing NLS message
Core,548073,trivial,FIXED,Tabs in extensions/universalchardet/tests/CharsetDetectionTests.js
Bugzilla,506036,trivial,FIXED,Inconsistent name of command line option in install-module.pl
Core,375291,trivial,FIXED,update layout/generic/punct_marks.ccmap to unicode 5.0
JDT,257907,trivial,FIXED,[Formatter] FORMATTER_PRESERVE_EXISTING_LINE_BREAKS needs clarification
Core,458089,trivial,FIXED,Kill VISUALSELECTION code
Core,531361,trivial,FIXED,Line layout should not assert about long lines that may occur naturally
Core,329728,trivial,FIXED,Coverity doesn't like main in xpt_link because it pretends header could be null
Bugzilla,330841,trivial,FIXED,"Pick a standard term to mean ""change a bug's product"""
Platform,264752,trivial,FIXED,Fix Javadoc for StyledCellLabelProvider#styleDecoratedString(..)
Firefox,570981,trivial,FIXED,Remove URLBarSetURI's aValid valid parameter
Core,790737,trivial,FIXED,Can't build on a FAT partition
Core,641856,trivial,FIXED,No -moz-column-rule with overflow <> visible
JDT,203846,trivial,FIXED,[package explorer] [working sets] Configure Working Sets dialog issues
Firefox,527433,trivial,FIXED,nsIWebContentConverterRegistrar::getContentHandlers count out param should be optional
Firefox,346888,trivial,FIXED,"Help Section ""Using Bon Echo"" -> ""Searching"" contains old-look Search Bar image"
Core,333404,trivial,FIXED,freeString is unused DEADCODE in nsCrypto::ImportUserCertificates
Core,698866,trivial,FIXED,Typo in errNonSpaceInTable key of dom/chrome/layout/htmlparser.properties
Firefox,625640,trivial,FIXED,"JavaScript Warning: ""assignment to undeclared variable <varname>"""
Firefox,500019,trivial,FIXED,remove workaround for bug 303428 (added in bug 417904)
Core,330319,trivial,FIXED,Remove duplicate string constants in jsnum.c
Thunderbird,527783,trivial,FIXED,Thunderbird credits changes
CDT,173615,trivial,FIXED,[Refactoring] Rename dialog accepts illegal identifiers
JDT,124841,trivial,FIXED,Set javadoc location for mirrorapi.jar
Platform,204403,trivial,FIXED,A typo in the org.eclipse.team.core package.html file.
JDT,144841,trivial,FIXED,APT missing in org.eclipse.jdt.doc.isv/reference/misc/overview-jdt.html
Firefox,507583,trivial,FIXED,WindowIsClosing() cleanup
JDT,212554,trivial,FIXED,Runnable JAR file export wizard UI nitpicking
JDT,218209,trivial,FIXED,JRE Definition dialog should use -Dee.name as default JRE name
Core,527347,trivial,FIXED,nsIScriptableUnicodeConverter::convertToByteArray aLen out param should be optional
Thunderbird,495677,trivial,FIXED,Archives folder icon (Windows XP new theme)
